,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Arapeí,1,1,0,1,3,2,1,0,2,0,2,0,22
0,Araraquara,196,190,0,55,102,421,0,0,542,122,412,152,1.273
0,Araras,82,32,12,21,59,186,26,17,224,181,380,190,1.013
0,Arco-Íris,1,0,0,1,0,1,0,0,1,1,2,0,10
0,Arealva,0,0,0,3,6,7,0,0,9,4,11,4,51
0,Areias,1,0,0,1,1,2,0,0,2,3,2,2,17
0,Areiópolis,3,1,0,2,3,6,0,0,8,7,6,4,29
0,Ariranha,0,5,0,5,4,8,0,0,8,3,10,5,50
0,Artur Nogueira,29,20,0,9,26,57,6,0,78,22,72,60,273
0,Arujá,6,29,1,17,58,102,17,2,136,57,217,178,515
0,Aspásia,0,0,0,0,1,1,0,0,1,2,1,0,11
0,Assis,151,105,0,44,93,260,17,1,305,110,260,164,1.017
0,Atibaia,54,54,3,43,85,231,34,0,311,87,318,181,1.139
0,Auriflama,8,9,0,7,8,23,0,1,25,17,40,0,148
0,Avaí,5,2,0,2,5,5,1,1,8,10,16,1,27
0,Avanhandava,23,3,3,3,5,6,0,0,10,5,11,2,30
0,Avaré,120,62,42,39,71,159,6,0,212,135,294,20,818
0,Bady Bassitt,1,5,0,3,6,16,2,0,20,16,17,9,61
0,Balbinos,0,0,0,2,2,1,0,0,1,1,2,0,18
0,Bálsamo,4,3,0,5,1,13,0,0,17,2,13,1,66
0,Bananal,5,0,0,1,18,10,1,4,14,10,10,0,57
0,Barão de Antonina,0,0,1,1,0,3,0,1,4,1,4,1,10
0,Barbosa,3,0,0,0,1,6,0,0,8,7,15,0,54
0,Bariri,16,6,0,7,12,43,2,0,64,39,82,6,208
0,Barra Bonita,38,6,2,13,9,41,4,2,63,32,73,21,252
0,Barra do Chapéu,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Barra do Turvo,0,1,0,7,18,38,0,0,46,16,54,2,195
0,Barretos,121,57,1,31,68,213,399,1,262,152,213,101,1.318
0,Barrinha,22,14,1,18,30,30,17,5,37,20,30,4,172
0,Barueri,37,116,8,76,208,465,85,6,622,270,750,432,2.221
0,Bastos,5,1,1,10,11,19,2,4,27,25,24,4,134
0,Batatais,82,39,1,10,30,82,200,7,104,93,85,14,514
0,Bauru,391,195,4,100,401,605,65,41,762,471,1.079,384,2.184
0,Bebedouro,69,42,62,21,36,131,130,0,162,50,143,32,688
0,Bento de Abreu,1,0,0,4,6,5,0,0,10,1,6,0,26
0,Bernardino de Campos,10,1,0,0,5,11,0,0,14,10,21,2,61
0,Bertioga,70,16,5,23,47,183,20,1,250,59,217,46,494
0,Bilac,1,4,1,4,5,12,2,0,17,18,29,1,50
0,Birigui,51,61,5,60,102,196,14,14,252,216,420,128,842
0,Biritiba Mirim,5,4,0,10,23,25,50,0,34,22,47,21,160
0,Boa Esperança do Sul,8,4,0,2,6,22,0,0,33,15,22,2,72
0,Bocaina,2,1,0,4,5,11,0,0,18,4,15,3,45
0,Bofete,1,0,0,1,11,4,0,1,4,3,4,2,64
0,Boituva,24,10,3,12,30,46,0,0,58,35,46,43,172
0,Bom Jesus dos Perdões,31,7,0,9,15,31,2,1,52,33,63,10,180
0,Bom Sucesso de Itararé,1,0,0,8,9,6,0,0,8,4,10,1,38
0,Borá,1,0,0,0,0,1,0,0,4,1,1,0,3
0,Boracéia,0,0,1,1,1,4,0,1,6,2,6,1,29
0,Borborema,14,6,1,3,12,24,19,0,26,22,25,4,112
0,Borebi,0,0,0,0,0,1,0,0,2,0,1,2,17
0,Botucatu,76,67,10,13,53,209,20,15,255,319,209,120,1.139
0,Bragança Paulista,73,70,4,43,105,261,19,14,315,187,442,143,1.628
0,Braúna,5,1,0,2,0,2,0,0,2,1,3,3,17
0,Brejo Alegre,2,0,0,3,10,5,0,0,8,7,13,4,30
0,Brodowski,10,9,0,4,7,29,5,0,36,45,29,12,112
0,Brotas,27,17,0,14,27,48,2,0,62,34,82,30,226
0,Buri,16,6,1,26,25,34,0,0,43,13,47,1,117
